,row_id,x,y,accuracy,time,place_id
163,163,2.1663,2.3755,84,669737,3869813743
310,310,2.3695,2.2034,3,234719,2636621520
658,658,2.3236,2.1768,66,502343,7877745055
1368,1368,2.2613,2.3392,73,319822,9775192577
1627,1627,2.3331,2.0011,66,595084,6731326909
1828,1828,2.0895,2.0542,65,98099,5831595982
1871,1871,2.2531,2.3475,70,531916,3399431058
2695,2695,2.0351,2.1926,42,358123,6471527236
2745,2745,2.2615,2.3811,60,68343,3610237287
5060,5060,2.3134,2.3982,72,719412,5391901741
5151,5151,2.0393,2.4312,22,670571,5737973743
5191,5191,2.2418,2.275,40,480204,4695549198
5656,5656,2.441,2.3057,61,25766,7327800834
6044,6044,2.0191,2.4685,111,471161,8561077637
6590,6590,2.3492,2.0025,7,124273,8660608034
6610,6610,2.0633,2.0818,32,635596,1247398579
6761,6761,2.2613,2.1828,175,733702,5487991137
6920,6920,2.309,2.3735,14,304106,5819752598
8454,8454,2.2091,2.2433,76,5021,6642266790
8933,8933,2.0189,2.4532,73,330490,9904182060
9646,9646,2.3912,2.3692,93,34187,5967678921
10272,10272,2.0613,2.4782,49,756625,9904182060
10794,10794,2.464,2.1692,165,14764,8619926191
11124,11124,2.498,2.2947,47,312342,3359704573
11806,11806,2.2659,2.2738,55,610829,1754990946
12144,12144,2.214,2.1771,227,345759,4724115005
12726,12726,2.39,2.4482,73,624850,9854557730
12771,12771,2.3951,2.2483,79,681527,2819110495
15664,15664,2.2502,2.225,88,752539,5547923718
16336,16336,2.3121,2.2548,57,481798,5996801204
16954,16954,2.0057,2.2564,57,477137,8910836365
17474,17474,2.1738,2.0498,300,50303,5831595982
17486,17486,2.0992,2.1762,71,394664,2850087121
19091,19091,2.0793,2.3654,73,582584,8980163153
19442,19442,2.445,2.3973,63,120591,6407819513
19882,19882,2.29,2.1988,63,579439,8635054095
20972,20972,2.4193,2.3419,65,228587,4980449560
21214,21214,2.4025,2.2594,10,636880,4707444542
22639,22639,2.0505,2.4303,62,80690,6914819828
22688,22688,2.0648,2.2525,129,86430,1882937204
22820,22820,2.3665,2.2418,187,543372,9804124209
22883,22883,2.0636,2.4679,21,132520,8561077637
23909,23909,2.2946,2.2963,19,546160,3975934001
23976,23976,2.3225,2.3922,75,692176,5391901741
24306,24306,2.0339,2.3724,322,382032,2870156931
24380,24380,2.4842,2.4567,17,704393,4342357846
24429,24429,2.4366,2.0305,72,776492,1026507711
24546,24546,2.2304,2.4871,407,465694,8950308472
24570,24570,2.469,2.0893,63,492000,7511942547
25423,25423,2.1714,2.1826,64,572004,4724115005
25889,25889,2.3566,2.2847,3,89434,6201971924
25915,25915,2.0408,2.4263,68,387016,5737973743
26032,26032,2.4304,2.1441,58,230770,3958678140
26274,26274,2.2968,2.1935,50,519901,9983648790
26655,26655,2.3795,2.2784,68,337709,2819110495
27349,27349,2.2491,2.0992,60,466120,9929803766
27384,27384,2.2188,2.2106,70,553300,8635054095
27690,27690,2.1113,2.1078,36,732064,4907914053
27948,27948,2.351,2.3718,23,589501,1926758801
29811,29811,2.2359,2.2025,44,498751,9786352208
29812,29812,2.004,2.2287,47,332161,4760271365
30074,30074,2.0467,2.4821,79,375228,9904182060
30417,30417,2.3805,2.1273,324,234790,3958678140
30580,30580,2.3436,2.2521,43,637049,6999024158
31176,31176,2.0571,2.4175,64,87777,6914819828
31427,31427,2.4535,2.0925,69,732480,7511942547
31482,31482,2.1474,2.4643,72,485336,9348457044
32347,32347,2.0513,2.2354,15,213167,3600238406
32523,32523,2.4933,2.0524,51,40481,3875389625
33294,33294,2.222,2.291,70,702688,7200786396
33758,33758,2.2351,2.2062,30,398093,8635054095
34522,34522,2.1978,2.0034,18,74703,7143574187
34630,34630,2.3486,2.1051,32,655569,2368590810
34708,34708,2.3066,2.1871,71,583217,9983648790
35164,35164,2.396,2.4401,12,341932,7563828622
35536,35536,2.0558,2.1857,288,705987,2850087121
36408,36408,2.1589,2.3473,10,58174,8914246980
37016,37016,2.321,2.1358,68,617900,8436707110
37508,37508,2.2024,2.1715,21,413991,9411632641
38221,38221,2.4153,2.3843,8,493734,3615845346
38744,38744,2.0556,2.3365,34,385307,7827992499
39291,39291,2.293,2.1941,65,14511,9983648790
39881,39881,2.2052,2.1448,347,424294,9411632641
40200,40200,2.4894,2.2827,172,271435,8166472129
40450,40450,2.0847,2.035,77,216200,5831595982
40619,40619,2.3367,2.2526,149,551667,1124621228
41820,41820,2.0547,2.4285,60,382777,6914819828
41847,41847,2.0746,2.1786,5,78232,2850087121
42226,42226,2.0607,2.4159,41,611628,6914819828
43082,43082,2.0988,2.3289,8,371827,9674001925
43317,43317,2.3107,2.1877,30,316844,9983648790
43676,43676,2.3953,2.4051,10,151162,1755785715
43796,43796,2.4392,2.2838,895,26329,6855801782
44337,44337,2.4929,2.006,65,564359,5525134064
44696,44696,2.2823,2.3472,200,518357,4443776587
44850,44850,2.2887,2.0908,23,101087,7707520131
44852,44852,2.209,2.3929,71,271668,9953487159
44979,44979,2.1278,2.2958,670,664207,7084181053
45541,45541,2.1545,2.2443,27,51218,9716409577
45912,45912,2.06,2.4119,54,275010,6914819828
47656,47656,2.0163,2.2649,65,611651,8910836365
48099,48099,2.1056,2.1167,26,404589,7174216807
48190,48190,2.2856,2.2661,168,210332,3733805904
48288,48288,2.0695,2.1198,9,405858,2571144009
48748,48748,2.4551,2.3354,60,588686,4980449560
48812,48812,2.4939,2.0484,66,517699,9369816734
49395,49395,2.167,2.4914,24,107166,8636259224
49859,49859,2.2702,2.0733,52,522705,7727090889
50130,50130,2.1907,2.0741,144,504108,3455925971
50159,50159,2.0413,2.1283,15,158874,8805392384
50300,50300,2.1508,2.0635,64,771226,8901439897
51010,51010,2.215,2.2009,52,81575,9786352208
51107,51107,2.1674,2.1357,260,486756,7431930642
52275,52275,2.1968,2.1427,10,53150,7431930642
52430,52430,2.0736,2.0626,1,153875,9081968124
52921,52921,2.0586,2.293,172,391676,7456731357
53100,53100,2.1104,2.2465,5,746128,3600238406
53329,53329,2.324,2.2609,40,311187,3733805904
54613,54613,2.4458,2.1525,164,768998,1378382790
55636,55636,2.0252,2.1662,1,192762,6640855361
55744,55744,2.1984,2.3205,73,621404,9775192577
56231,56231,2.1144,2.3505,73,393474,3361577288
57463,57463,2.494,2.2623,11,351774,5265295166
57612,57612,2.0844,2.1322,18,107987,2860908164
58126,58126,2.3837,2.1361,7,122780,1330607544
58131,58131,2.3861,2.3725,12,131935,4316669225
58577,58577,2.2167,2.1887,79,688704,9786352208
58937,58937,2.2676,2.1146,47,504327,8220532611
60289,60289,2.4201,2.3208,29,680222,8612356943
60679,60679,2.3956,2.3701,56,120746,6178218782
61007,61007,2.3424,2.2607,63,415245,5201352257
61219,61219,2.3516,2.2627,68,737848,5201352257
61378,61378,2.1889,2.4132,3,232211,7547963563
61560,61560,2.4814,2.0728,25,494211,3197745311
62314,62314,2.4805,2.4046,41,676149,9348457044
63438,63438,2.3285,2.2081,16,116138,4466813611
64529,64529,2.3211,2.4987,99,42036,1953243575
65487,65487,2.175,2.2465,211,653696,5202212594
65536,65536,2.376,2.0616,17,597928,2225211839
65580,65580,2.4647,2.4993,20,744604,4257279159
65727,65727,2.3555,2.0929,69,103758,4740794071
66052,66052,2.1804,2.4582,12,561669,2114811631
66686,66686,2.0767,2.1215,62,54552,2571144009
66802,66802,2.4768,2.0585,65,779048,6926445098
66835,66835,2.3217,2.4276,65,11804,7547963563
67233,67233,2.3489,2.4972,46,472156,7309958589
68135,68135,2.1694,2.274,8,22023,1207701286
69244,69244,2.3431,2.2576,41,775224,9804124209
70023,70023,2.3742,2.4318,919,451428,5806536504
70389,70389,2.254,2.0885,68,159403,7727090889
71605,71605,2.4748,2.1157,88,722074,1428365162
71903,71903,2.2499,2.2141,54,196634,9866421927
72532,72532,2.3704,2.4095,25,484228,7547963563
72937,72937,2.0568,2.3552,59,80779,2870156931
73192,73192,2.0347,2.0897,87,663652,9357673597
73273,73273,2.0746,2.2384,68,276935,1882937204
73372,73372,2.2039,2.4721,65,317331,9904182060
74009,74009,2.4555,2.2356,32,716223,4895788215
74092,74092,2.2192,2.1981,59,357849,9786352208
75108,75108,2.2305,2.4834,59,374848,8950308472
75165,75165,2.033,2.2673,28,292256,3600238406
75323,75323,2.2807,2.3701,177,206628,4443776587
75659,75659,2.4059,2.2236,55,503424,1891783132
76073,76073,2.0119,2.2486,62,716753,3414402894
76423,76423,2.2188,2.358,71,397265,7847671162
76693,76693,2.0829,2.4839,71,549525,9904182060
78541,78541,2.3796,2.361,141,511968,5967678921
80074,80074,2.3352,2.1027,71,663129,8283681418
80453,80453,2.1077,2.1014,65,452171,3692608023
80583,80583,2.1106,2.3719,66,340635,8980163153
80822,80822,2.307,2.2808,64,39006,3733805904
81048,81048,2.1401,2.1258,35,679835,5114946464
81504,81504,2.3451,2.2559,9,452847,5202212594
82056,82056,2.1381,2.4734,10,156386,9472463148
82162,82162,2.3724,2.2368,10,65188,4206192102
82814,82814,2.489,2.3724,80,487619,3410488147
83018,83018,2.4954,2.4556,67,508704,7563828622
83116,83116,2.3865,2.1445,43,466859,3958678140
84405,84405,2.2254,2.0931,203,104851,9929803766
84411,84411,2.4758,2.1425,77,564503,1353609798
84505,84505,2.4418,2.1449,10,378639,3958678140
84522,84522,2.3245,2.2682,252,673932,1754990946
84667,84667,2.1909,2.1218,15,39913,7431930642
85917,85917,2.0602,2.4809,160,26797,9904182060
87121,87121,2.0843,2.4234,61,616553,6914819828
87283,87283,2.2183,2.1481,64,105819,3912590147
87874,87874,2.3902,2.4534,837,379096,7563828622
87894,87894,2.0467,2.4449,16,242856,5737973743
88319,88319,2.2767,2.2706,70,647142,1754990946
89037,89037,2.4193,2.0863,16,181500,8744296252
89473,89473,2.1501,2.424,16,284028,7882186616
89519,89519,2.3379,2.2844,64,600713,4556103271
89960,89960,2.4848,2.2985,69,726901,1839459441
90030,90030,2.3708,2.3744,167,656142,8416001620
90084,90084,2.496,2.4646,49,531521,6514169377
90132,90132,2.4921,2.2918,174,504816,3345427818
90435,90435,2.0342,2.1684,60,654948,7185006122
90459,90459,2.1325,2.0381,6,757126,8901439897
90531,90531,2.1275,2.1338,158,590465,5114946464
91134,91134,2.2287,2.1594,7,158671,3002793420
91255,91255,2.2791,2.0581,47,122281,9081968124
91307,91307,2.3507,2.4881,84,613558,7309958589
91419,91419,2.4871,2.1723,202,361650,4620101952
91479,91479,2.3762,2.2186,80,297805,2636621520
93127,93127,2.2095,2.1165,2,21287,7431930642
93248,93248,2.4557,2.3498,55,186779,4980449560
93349,93349,2.4046,2.1355,65,34842,3958678140
93430,93430,2.2481,2.201,162,761154,8635054095
93532,93532,2.0884,2.1122,5,679505,8805392384
93601,93601,2.4404,2.3227,73,762662,4980449560
94759,94759,2.048,2.4938,66,330000,2702245993
96266,96266,2.1455,2.0627,177,473048,4060061233
96344,96344,2.0113,2.075,9,494275,6926445098
96594,96594,2.2481,2.3267,74,474440,3399431058
97145,97145,2.3784,2.3883,91,583311,2286217801
97659,97659,2.4295,2.3451,63,690828,4980449560
98894,98894,2.0692,2.0766,26,750126,1247398579
99498,99498,2.0467,2.4232,10,172565,6914819828
100203,100203,2.1981,2.0125,53,116046,7143574187
100262,100262,2.3155,2.3718,106,762077,5967678921
101023,101023,2.1306,2.1406,45,651781,3394758273
101081,101081,2.3768,2.4831,36,477582,8244162611
101563,101563,2.2266,2.4947,165,358212,3404878215
101674,101674,2.2001,2.1516,11,306325,7431930642
101679,101679,2.349,2.2668,97,671469,4707444542
102317,102317,2.0452,2.4429,3,81573,5737973743
102341,102341,2.4892,2.4125,55,321647,7398982187
102728,102728,2.3423,2.1922,42,527844,8635054095
103117,103117,2.2801,2.0812,69,44526,7727090889
103828,103828,2.0292,2.3592,112,348108,6612358638
103833,103833,2.4949,2.0234,68,331018,5525134064
104165,104165,2.0612,2.0821,69,647000,7707520131
104275,104275,2.3196,2.4967,201,702936,8286144077
105947,105947,2.2047,2.1201,83,524865,5336264513
106618,106618,2.4403,2.0881,70,372804,9313461427
106664,106664,2.1002,2.0688,25,757808,1247398579
106696,106696,2.1842,2.3721,1,95422,1068896566
106706,106706,2.2914,2.4565,166,696074,2879029322
107247,107247,2.1399,2.3283,12,51484,2451007177
107512,107512,2.0245,2.2776,59,269468,7456731357
108089,108089,2.251,2.3832,77,405214,3610237287
108122,108122,2.1124,2.4278,11,777210,4827214712
108582,108582,2.3231,2.1134,41,726686,8283681418
108987,108987,2.1433,2.298,15,412177,2326073244
109365,109365,2.4705,2.3503,60,398492,4980449560
109918,109918,2.1702,2.3415,78,51308,8914246980
